Q9GZZ6,chembl,identifier,alt_identifiers,in_spoke
CHEMBL267841,chembl.compound:CHEMBL267841,inchikey:CDNFAKVJGFHDDB-UHFFFAOYSA-N,,True
CHEMBL3544968,chembl.compound:CHEMBL3544968,chembl.compound:CHEMBL3544968,,True
CHEMBL368591,chembl.compound:CHEMBL368591,inchikey:QIRAYNIFEOXSPW-UHFFFAOYSA-N,,True
CHEMBL1200703,chembl.compound:CHEMBL1200703,inchikey:BUCORZSTKDOEKQ-UHFFFAOYSA-N,,True
CHEMBL23261,chembl.compound:CHEMBL23261,inchikey:FEJVSJIALLTFRP-LJQANCHMSA-N,,True
CHEMBL3545222,chembl.compound:CHEMBL3545222,chembl.compound:CHEMBL3545222,,True
CHEMBL3545087,chembl.compound:CHEMBL3545087,chembl.compound:CHEMBL3545087,,True
283454,chembl.compound:283454,,,False
Q9UGM1,chembl.compound:Q9UGM1,,,False
CHEMBL3545168,chembl.compound:CHEMBL3545168,chembl.compound:CHEMBL3545168,,True
DB08944,chembl.compound:DB08944,,,False
CHEMBL3039518,chembl.compound:CHEMBL3039518,inchikey:URWYQGVSPQJGGB-DHUJRADRSA-N,,True
CHEMBL454767,chembl.compound:CHEMBL454767,inchikey:GLILJDHGIUHYHF-UHFFFAOYSA-N,,True
CHEMBL1094785,chembl.compound:CHEMBL1094785,inchikey:IHOXNOQMRZISPV-YJYMSZOUSA-N,,True
CHEMBL217899,chembl.compound:CHEMBL217899,inchikey:DHCOPPHTVOXDKU-UHFFFAOYSA-N,,True
Q9BZW2,chembl.compound:Q9BZW2,,,False
CHEMBL238979,chembl.compound:CHEMBL238979,inchikey:GNYBGWMBQKXKSR-UHFFFAOYSA-N,,True
Q14207,chembl.compound:Q14207,,,False
Q6W3E5,chembl.compound:Q6W3E5,,,False
CHEMBL2178570,chembl.compound:CHEMBL2178570,inchikey:RKWKLTLIBREDHD-DEOSSOPVSA-N,,True
CHEMBL1696,chembl.compound:CHEMBL1696,inchikey:HCYAFALTSJYZDH-UHFFFAOYSA-N,,True
CHEMBL3039524,chembl.compound:CHEMBL3039524,inchikey:YQYFEGTYCUQBEI-UHFFFAOYSA-N,,True
CHEMBL2106170,chembl.compound:CHEMBL2106170,inchikey:ALELTFCQZDXAMQ-UHFFFAOYSA-N,,True
CHEMBL281030,chembl.compound:CHEMBL281030,inchikey:AFFWXMUEFYWYJZ-UHFFFAOYSA-N,,True
CHEMBL475903,chembl.compound:CHEMBL475903,inchikey:FHQYJZCJRZHINA-UHFFFAOYSA-N,,True
D058646,chembl.compound:D058646,,,False
F8WC51,chembl.compound:F8WC51,,,False
CHEMBL1200332,chembl.compound:CHEMBL1200332,inchikey:BWPIARFWQZKAIA-UHFFFAOYSA-N,,True
CHEMBL1742420,chembl.compound:CHEMBL1742420,inchikey:SBVYURPQULDJTI-UHFFFAOYSA-N,,True
CHEMBL313203,chembl.compound:CHEMBL313203,inchikey:BBOGMFAWIKGMBX-UHFFFAOYSA-N,,True
A6NFE2,chembl.compound:A6NFE2,,,False
D018691,chembl.compound:D018691,,,False
CHEMBL3545272,chembl.compound:CHEMBL3545272,,,False
DB00723,chembl.compound:DB00723,,,False
55025,chembl.compound:55025,,,False
CHEMBL2205245,chembl.compound:CHEMBL2205245,inchikey:KZFNSFSFTNJMTD-UHFFFAOYSA-N,,True
CHEMBL2178579,chembl.compound:CHEMBL2178579,inchikey:YQYFEGTYCUQBEI-UHFFFAOYSA-N,,True
CHEMBL1940832,chembl.compound:CHEMBL1940832,inchikey:BMKINZUHKYLSKI-DQEYMECFSA-N,,True
DB00391,chembl.compound:DB00391,,,False
CHEMBL184332,chembl.compound:CHEMBL184332,inchikey:NGIGHTDRAFHUHJ-AREMUKBSSA-N,,True
CHEMBL583047,chembl.compound:CHEMBL583047,inchikey:BUIOXJWBULUFSN-GOSISDBHSA-N,,True
CHEMBL3298234,chembl.compound:CHEMBL3298234,inchikey:WUEQPALOIZXSGA-UHFFFAOYSA-N,,True
DOID:11981,chembl.compound:DOID:11981,,,False
D018683,chembl.compound:D018683,,,False
O15054,chembl.compound:O15054,,,False
Q8TC17,chembl.compound:Q8TC17,,,False
CHEMBL182003,chembl.compound:CHEMBL182003,inchikey:DWWQIQAHGOQIJA-BUHFOSPRSA-N,,True
Q8NFN8,chembl.compound:Q8NFN8,,,False
CHEMBL1760583,chembl.compound:CHEMBL1760583,inchikey:IWIIEGCJOFYIEZ-UHFFFAOYSA-N,,True
CHEMBL2151817,chembl.compound:CHEMBL2151817,inchikey:VOYBJCDMLJODRK-CYBMUJFWSA-N,,True
CHEMBL1200765,chembl.compound:CHEMBL1200765,inchikey:UNAANXDKBXWMLN-UHFFFAOYSA-N,,True
CHEMBL184809,chembl.compound:CHEMBL184809,inchikey:CGYVRHMWFDMEPW-UHFFFAOYSA-N,,True
CHEMBL192321,chembl.compound:CHEMBL192321,inchikey:SZBBKBVEFNNLQZ-UHFFFAOYSA-N,,True
DB09000,chembl.compound:DB09000,,,False
CHEMBL2016681,chembl.compound:CHEMBL2016681,inchikey:WGEWUYACXPEFPO-UHFFFAOYSA-N,,True
CHEMBL74281,chembl.compound:CHEMBL74281,inchikey:BTJKNWWHSZVJIP-UHFFFAOYSA-N,,True
CHEMBL3299117,chembl.compound:CHEMBL3299117,inchikey:JAGGGUUOOPMDRG-UHFFFAOYSA-N,,True
