OMOP	SPOKE
44821831	C0001546
44821831	DOID:4964
44821831	DOID:507
44829944	C0001546
44829944	DOID:4964
44829944	DOID:507
1568233	C0001546
1568233	DOID:4964
1568233	DOID:507
44829945	C0001546
44829945	DOID:4964
44829945	DOID:507
44834612	C0001546
44834612	DOID:4964
44834612	DOID:507
35225209	C0001546
35225209	DOID:4964
35225209	DOID:507
45576546	C0001546
45576546	DOID:4964
45576546	DOID:507
44824137	C0001546
44824137	DOID:4964
44824137	DOID:507
44833420	C0001546
44833420	DOID:4964
44833420	DOID:507
45576547	C0001546
45576547	DOID:4964
45576547	DOID:507
1570007	C0003873
1570007	DOID:13649
1570007	DOID:7148
45562590	C0003873
45562590	DOID:13649
45562590	DOID:7148
1570011	C0003873
1570011	DOID:13649
1570011	DOID:7148
45591694	C0003873
45591694	DOID:13649
45591694	DOID:7148
45533695	C0003873
45533695	DOID:13649
45533695	DOID:7148
1570010	C0003873
1570010	DOID:13649
1570010	DOID:7148
45548257	C0003873
45548257	DOID:13649
45548257	DOID:7148
1570013	C0003873
1570013	DOID:13649
1570013	DOID:7148
45538629	C0003873
45538629	DOID:13649
45538629	DOID:7148
45567413	C0003873
45567413	DOID:13649
45567413	DOID:7148
45567414	C0003873
45567414	DOID:13649
45567414	DOID:7148
45543433	C0003873
45543433	DOID:13649
45543433	DOID:7148
1570008	C0003873
1570008	DOID:13649
1570008	DOID:7148
45553041	C0003873
45553041	DOID:13649
45553041	DOID:7148
1570014	C0003873
1570014	DOID:13649
1570014	DOID:7148
45582011	C0003873
45582011	DOID:13649
45582011	DOID:7148
45606046	C0003873
45606046	DOID:13649
45606046	DOID:7148
45582012	C0003873
45582012	DOID:13649
45582012	DOID:7148
45567415	C0003873
45567415	DOID:13649
45567415	DOID:7148
45538631	C0003873
45538631	DOID:13649
45538631	DOID:7148
45548258	C0003873
45548258	DOID:13649
45548258	DOID:7148
1570009	C0003873
1570009	DOID:13649
1570009	DOID:7148
45582013	C0003873
45582013	DOID:13649
45582013	DOID:7148
45596433	C0003873
45596433	DOID:13649
45596433	DOID:7148
1570012	C0003873
1570012	DOID:13649
1570012	DOID:7148
45596434	C0003873
45596434	DOID:13649
45596434	DOID:7148
45582010	C0003873
45582010	DOID:13649
45582010	DOID:7148
45591693	C0003873
45591693	DOID:13649
